repo_name,languages,stars_count,forks_count,resolution_time_hours
django/django,"Python, CSS, JavaScript, HTML, Smarty, Procfile",77820,31198,0
mtdvio/every-programmer-should-know,,77740,7407,2738.6775877192986
sveltejs/svelte,"JavaScript, TypeScript, Svelte, HTML, CSS",77452,4036,3438.146675
laravel/laravel,"PHP, Blade, JavaScript",77463,23921,0
nvm-sh/nvm,"Makefile, Shell, JavaScript, Dockerfile",77160,7754,7289.579133333333
bitcoin/bitcoin,"Shell, Python, Makefile, C++, C, HTML, Objective-C++, M4, Assembly, Scheme",77093,35595,6475.853280555555
ollama/ollama,"TypeScript, JavaScript, CSS, HTML, Dockerfile, Go, Shell, Python, C, PowerShell",76968,5791,614.4027194444444
opencv/opencv,"CMake, C++, Cuda, Shell, C, Objective-C, Java, Python, Objective-C++, PowerShell",76807,55662,19979.10416388889
tensorflow/models,"Python, C++, Shell, Jupyter Notebook, Dockerfile, Starlark",76789,45849,1090.6188555555555
excalidraw/excalidraw,"HTML, TypeScript, JavaScript, Dockerfile, SCSS, CSS, Shell, MDX",76757,7010,445.5298861111111
gin-gonic/gin,"Go, Makefile",76715,7911,2322.8148111111113
macrozheng/mall,"Java, Shell, Dockerfile",76453,28523,588.186913888889
florinpop17/app-ideas,,76167,9229,1560.7671188630493
yt-dlp/yt-dlp,"Makefile, Python, Shell, Batchfile, Dockerfile",76185,5992,462.12196111111115
tonsky/FiraCode,"Clojure, CSS, HTML, Shell, PureBasic, Python, Dockerfile, Makefile",76060,3074,3466.708063888889
MisterBooo/LeetCodeAnimation,"Java, Python, C++",75128,13969,303.58237433862433
doocs/advanced-java,Java,75074,18932,871.2912722222222
spring-projects/spring-boot,"Java, Smarty, HTML, Groovy, Shell, Ruby, CSS, JavaScript, Batchfile, Kotlin",73601,40322,2305.6530333333335
gohugoio/hugo,"Go, Shell, HTML, Dockerfile, CSS, JavaScript",73571,7388,4991.507697222222
FortAwesome/Font-Awesome,"CSS, JavaScript, Less, SCSS",73303,12188,5077.9903583333335
tiangolo/fastapi,"Python, Shell, CSS, HTML, JavaScript",73195,6166,25324.51118611111
jaywcjlove/awesome-mac,"JavaScript, Dockerfile",73010,6158,3363.5197055555554
ChatGPTNextWeb/ChatGPT-Next-Web,"TypeScript, JavaScript, SCSS, Dockerfile, Shell, Rust",72616,57695,46.523225
typicode/json-server,"HTML, JavaScript",71872,6925,1619.0857250000001
oven-sh/bun,"Zig, JavaScript, TypeScript, CSS, Makefile, C, C++, HTML, Shell, Dockerfile",71805,2555,4634.810488888889
vuejs/awesome-vue,,71445,9442,8688.811791666667
home-assistant/core,"Python, Shell, Dockerfile, PLSQL, Jinja, JavaScript",69745,28912,1100.4239583333333
netdata/netdata,"Shell, C, C++, HTML, JavaScript, CSS, Makefile, CMake, Python, POV-Ray SDL",69441,5796,5331.556655555556
DopplerHQ/awesome-interview-questions,,68877,8759,2765.851903594771
mermaid-js/mermaid,"JavaScript, Yacc, HTML, Shell, TypeScript, CSS, Vue, Dockerfile",68745,6075,3717.1608305555555
elastic/elasticsearch,"Shell, Python, Java, HTML, Groovy, Batchfile, Emacs Lisp, FreeMarker, ANTLR, Dockerfile",68536,24344,1204.3133083333335
supabase/supabase,"JavaScript, CSS, Makefile, TypeScript, PLpgSQL, Shell, Dockerfile, SCSS, Python, MDX",68397,6483,1048.8749583333333
moby/moby,"Go, Shell, Makefile, C, Assembly, PowerShell, Dockerfile, Python, HCL",68121,18574,1259.879897222222
microsoft/ML-For-Beginners,"Jupyter Notebook, Python, CSS, HTML, JavaScript, Vue, Dockerfile",68118,13938,652.3803194444445
rustdesk/rustdesk,"Rust, C++, Shell, HTML, CSS, C, Dockerfile, NSIS, AppleScript, Objective-C",68031,7528,4214.065008333333
thedaviddias/Front-End-Checklist,,67919,6365,2704.3036083333336
base-org/node,"Dockerfile, Shell",67658,2300,359.784825
hakimel/reveal.js,"JavaScript, CSS, HTML, SCSS",67276,16631,745.8357972222223
pallets/flask,"Python, HTML, CSS, Shell",66991,16058,943.3676222222222
swiftlang/swift,"Emacs Lisp, CMake, C, C++, Python, Swift, Objective-C++, DTrace, Objective-C, Shell",66705,10284,18623.582933333335
CompVis/stable-diffusion,"Python, Shell, Jupyter Notebook",66536,9971,902.9195138888889
nomic-ai/gpt4all,"Python, Shell, CMake, C++, Qt Script, C, QML, CSS, Makefile, JavaScript",66559,7329,1040.4263916666666
coder/code-server,"TypeScript, HTML, CSS, Dockerfile, Shell, Makefile, Mustache, HCL, JavaScript, Nix",66475,5449,1624.7356194444446
anuraghazra/github-readme-stats,"JavaScript, Shell",66459,21543,1430.3601833333335
vitejs/vite,"JavaScript, TypeScript, Vue, HTML, AppleScript, CSS, SCSS, Less, Svelte, Stylus",65960,5877,300.1879333333334
fighting41love/funNLP,Python,65943,14258,2116.43128250591
Developer-Y/cs-video-courses,,65925,9023,2058.5321361111114
MunGell/awesome-for-beginners,,65764,6849,1403.6157527777777
nestjs/nest,"TypeScript, JavaScript, Shell",65605,7468,806.5631277777777
redis/redis,"Makefile, Shell, C, C++, Ruby, Tcl, Smarty, Python, JavaScript",65570,23578,11640.485125000001
bregman-arie/devops-exercises,"Shell, Groovy, Python, HTML, HCL",64781,14310,2565.290058479532
protocolbuffers/protobuf,"Makefile, Shell, Java, Emacs Lisp, C++, Python, Ruby, C, Objective-C, Swift",64495,15357,7451.290819444444
josephmisiti/awesome-machine-learning,Python,64344,14513,919.2964303959131
webpack/webpack,"JavaScript, CSS, CoffeeScript, HTML, WebAssembly, Pug, Less, TypeScript, SCSS",64336,8738,1605.7619666666667
expressjs/express,"Makefile, JavaScript, Shell",64327,14604,1537.8864638888888
openai/whisper,Python,64069,7450,0
2dust/v2rayN,"C#, PowerShell",64039,10880,359.58184166666666
chartjs/Chart.js,"JavaScript, Shell, TypeScript, HTML",63921,11885,9532.925827777777
microsoft/playwright,"JavaScript, Shell, TypeScript, HTML, CSS, Batchfile, Objective-C, Makefile, CMake, C++",63779,3452,1438.479388888889
Anduin2017/HowToCook,Dockerfile,63597,8530,518.3948361111111
enaqx/awesome-react,,63210,7127,4806.499211111111
FuelLabs/sway,"Rust, Shell, JavaScript, Dockerfile, LLVM, CSS, RenderScript, Sway",62968,5314,3473.145722222222
shadcn-ui/ui,"Shell, TypeScript, JavaScript, CSS, MDX",62990,3548,3430.842372222222
kdn251/interviews,Java,62724,12830,1871.4238164251208
leonardomso/33-js-concepts,JavaScript,62630,8740,4074.7283903133907
syncthing/syncthing,"Go, Shell, CSS, JavaScript, HTML, Batchfile, Dockerfile, Ruby, PowerShell, TypeScript",62050,4132,2385.501152777778
junegunn/fzf,"Makefile, Go, Ruby, Shell, Dockerfile, PowerShell, Vim Script",61809,2345,1255.9595055555556
ansible/ansible,"Makefile, Python, Shell, PowerShell, Go, Roff, C#, Batchfile, Jinja",61767,23743,179.26215
twitter/the-algorithm,"Starlark, Java, Python, Dockerfile, Scala, Thrift, Shell, Rust, C, C++",61702,12168,8.11955
resume/resume.github.com,"Ruby, CSS, JavaScript, HTML",61679,1345,7615.695690104167
strapi/strapi,"JavaScript, HTML, Shell, Handlebars, TypeScript, MDX",61598,7707,1555.8875583333333
grafana/grafana,"Shell, Python, JavaScript, Go, HTML, CSS, TypeScript, Makefile, Smarty, Dockerfile",61458,11735,1811.0076722222223
hoppscotch/hoppscotch,"JavaScript, Vue, Dockerfile, Shell, SCSS, TypeScript, HTML, Handlebars, Rust",61285,4254,563.7802111111112
binary-husky/gpt_academic,"Python, Dockerfile, JavaScript, CSS, HTML",61316,7647,492.48954999999995
lydiahallie/javascript-questions,,61265,8715,4147.742358333333
keras-team/keras,"Python, Shell",61264,19375,2159.857052777778
ggerganov/llama.cpp,"Makefile, Python, C, C++, Shell, CMake, Dockerfile, Nix, Swift, Cuda",61224,8744,1116.5578166666667
python/cpython,"Makefile, Python, C, Batchfile, CSS, HTML, Assembly, C++, DTrace, Shell",60865,29375,1778.7168944444445
reduxjs/redux,"JavaScript, TypeScript, CSS",60626,15288,370.6111472222222
socketio/socket.io,"JavaScript, TypeScript, Shell",60520,10085,1320.1394944444444
apache/superset,"Python, CSS, JavaScript, Shell, Mako, HTML, Smarty, Dockerfile, TypeScript, Makefile",60472,13059,4535.885930555555
ventoy/Ventoy,"C, Shell, Assembly, C++, Roff, Makefile, Dockerfile, HTML, CSS, JavaScript",60308,3940,3577.845697222222
3b1b/manim,"Python, GLSL",60242,5692,5761.1474194444445
ByteByteGoHq/system-design-101,,60220,6201,990.7964880952381
